Name,Plate_ID,Location ,Latitude,Longitude,Legacy_Age,Legacy_Age_2s,Legacy_Age_type_and_citation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR_,15,Gabilan volcanics,36.82,-121.55,22.2,1.4,"Pl_K/Ar; Turner, 1968",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ_,17,Soquel Canyon,36.8,-122,23.7,1,"Stakes et al., 1999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV_,15,Pinnacles,36.47,-121.18,22.82,0.32,Pl_Ar/Ar; Weigand P/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC_,12,Lang Canyon,35.92,-120.5,23.8,0.7,"Whole_rock Ar/Ar; Sims, 1993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SI_,18,"Simmler Fm, Alamo Ck",35.18,-120.21,22.9,1.4,"Whole_rock K-Ar; Balance et al., 1983",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TU_,35,Tunis Creek,34.97,-118.79,22.9,1.8,"Whole Rock Ar/Ar; Plescia et al., 1994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE_,35,Tecuya Formation,34.93,-118.98,22.4,1.4,"Bio_K/Ar; Turner, 1970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL_,32,Plush Ranch,34.78,-119.09,23.1,0.6,"Whole_rock K-Ar; Frizzell and Weigand, 1993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV_,33,Neenach,34.75,-118.55,23.55,0.5,Pl_Ar/Ar; Weigand P/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF_,33,Vasquez Fm,34.47,-118.29,23.6,0.8,bio_K/Ar; Frizzell and Weigand 1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF_,41,Diligencia Fm,33.55,-115.68,22.6,1,"Whole_rock K-Ar; Frizzell and Weigand, 1993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LM2_,20,Lopez Mtn,35.26,-120.55,17,1,"Pl_K/Ar; McLean, 1994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OF_,22,Obispo Fm,35.08,-120.77,16.7,1,"Pl_K/Ar; Turner, 1970; eruptive center offshore?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TB_,31,Triple Basalts,35,-119.59,14.8,1.6,"Pl_K/Ar; Turner, 1970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR_,18,Catway Road,34.76,-119.98,18.8,3,"Pl_K/Ar; Vedder et al., 1994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH_,18,Hells Half Acre,34.7,-119.88,18.5,4,"Whole_rock K-Ar; Fritsche and Thomas, 1990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR_,30,Santa Rosa Creek,34.61,-120.26,17.4,2.4,"whole_rock K-Ar; Turner, 1970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM_,30,Tranquillon Volcanics,34.58,-120.56,17.39,0.12,"Pl_Ar/Ar; Stanley et al., 1996",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV_,27,Conejo Volcanics,34.17,-118.92,16,1.2,"Pl_K/Ar; Turner and Campbell, 1979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GV_,41,Glendora Volcanics,34.1,-117.8,15.9,0.6,Pl_Ar/Ar; Weigand P/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCR_,24,Santa Cruz Island,34.03,-119.77,16.9,0.4,"Pl_Ar/Ar; Luyendyk et al., 1998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM_,26,San Miguel Volcanics,34.03,-120.3,17,1.6,"whole_rock_Ar/Ar; Luyendyk et al., 1998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC_,24,Anacapa,34.02,-119.36,16.15,0.4,"Pl_Ar/Ar; Luyendyk et al., 1998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZV_,27,Zuma Volcanics,34,-118.8,15,1,"Pl_K/Ar; Berry et al., 1976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
