,eHf
0,12.559827340081764
1,10.42738973057844
2,13.124426322275173
3,13.017168321505235
4,12.007070775708062
5,14.900053885860132
6,13.549693277841168
7,11.324265087742091
8,11.279030649855581
9,10.720078322663529
10,11.119598901767613
11,7.330020481610688
12,9.919691334423497
13,8.359164143645348
14,8.053402687719924
15,11.49004295831979
16,6.930439282721856
17,8.895712361653985
18,12.649517080127737
19,10.834479603027969
20,12.970536127347998
21,9.22362359919271
22,8.43605941375447
23,12.717292231876343
24,12.501388652785828
25,8.55271528565904
26,10.60329880071098
27,11.766172958813659
28,10.346685648832121
29,11.603798097159501
30,8.482773685558609
31,8.96603244952221
32,10.743921567368808
33,11.221708457047619
34,6.981141567687921
35,12.588505482680201
36,11.104615489578862
37,10.933282933247579
38,10.760290048481558
39,10.14178038862168
40,15.408073548277557
41,10.804537773168033
42,10.534593491531297
43,13.40101046425568
44,8.871997437953638
45,14.07972679313696
46,8.625115148335194
47,9.779726511727205
48,10.719198834079346
49,2.602331188186202
50,4.513127416321261
51,4.902314365109461
52,1.997873817176643
53,8.023057733153038
54,3.2562452758266858
55,1.5783859825302393
56,3.1540186691270122
57,5.660738400903309
58,3.56284112655203
59,0.7854648847493984
60,6.188329516758628
61,5.9003778638389015
62,3.8222502108853362
63,3.6159414537006995
64,4.797587402434189
65,3.4049345255104946
66,4.304450689078809
67,4.6816750464984125
68,1.2008439564770157
69,3.598957522430446
70,3.6095731123020336
71,3.69689281615182
72,2.8241645937843174
73,2.8157047632659804
74,3.8285955590633414
75,4.3877448604834335
76,4.024033912055636
77,9.422917993449076
78,9.728988716273257
79,9.739109553377201
80,9.761681802544775
81,11.094265899984634
82,9.165104165156368
83,9.371533557342993
84,9.846979290319968
85,8.695166045715741
86,11.006767995971334
87,7.668981486781412
88,12.239687609052474
89,10.374795807126524
90,5.731624407230296
91,10.586620537615943
92,8.405718294302034
93,8.814681930666701
94,-2.041286335945358
95,0.026603157126103838
96,0.08186773519325286
97,2.5577281798216944
98,1.2773979140900948
99,2.2499453687441218
100,3.488620980056645
101,4.785128943682881
102,0.6633404860911796
103,1.9610299782213403
104,2.4902379966063037
105,3.310630493800204
106,4.138029030789081
107,2.7898047271079918
108,0.03050835780005201
109,1.7157813452639559
110,1.1168216395551767
111,5.676243877430487
112,2.5895675765141846
113,1.9137699890880988
114,1.0107278968174427
115,1.9369419451309433
116,6.596250801098602
117,1.949427387955005
118,0.6251728774286924
119,1.297744527999356
120,2.023662465777676
121,4.681046731460636
122,1.3343924651643135
123,3.2828188859079788
124,8.659567386988254
125,7.421515479753005
126,4.264133302391837
127,2.743399772615618
128,4.521079656172322
129,4.868670363880057
130,5.446761933423083
131,5.042495181140083
132,-5.98424218489324
133,-4.476903111503283
134,-2.5495773888273288
135,-3.6120069498213336
136,10.427528418957
137,-7.661482358767291
138,2.262437031372855
139,12.69012735208186
140,8.260197194107644
141,8.498890640327161
142,9.170871247645707
143,9.969055467582422
144,-4.939715451577342
145,8.838009815006487
146,10.560562526569228
147,12.210078934937751
148,7.65146402392114
149,7.9785810967103465
150,9.898956064173792
151,6.925017798915523
152,14.795916347309923
153,7.696792239595407
154,8.930122688382003
155,8.50830854751905
156,9.449224037434423
157,8.81163138211738
158,4.939365595009182
159,2.4258173307334374
160,4.8275470865477565
161,2.6857404042379684
162,3.2940702305217506
163,5.265139694048404
164,6.581932045142125
165,2.2760283841116724
166,1.3113008974197093
167,4.713614435942759
168,3.0913042339242303
169,0.5595726779561438
170,2.165626915928698
171,3.068839090984987
172,1.6739623218930966
173,6.220317816187926
174,6.0991016294908995
175,3.977943263906436
176,4.304109137789336
177,6.69262199179288
178,2.953576273152514
179,2.4919470702799984
180,2.3616260372794073
181,0.9625233459376048
182,3.2161897256188787
183,2.9968155001380836
184,5.161652105329928
185,4.387933426521773
186,4.153183375517067
